r1,r2,stance
Flow Chart [Image: see text] Prediction of Outcomes Based on Genomic Load [Image: see text] Prediction of Outcomes Based on Genomic Load and Pneumonia Severity Index [Image: see text] CONCLUSION: High genomic load of SARS-CoV-2 in nasopharyngeal samples at the time of admission is independently associated with mortality and intubation.,"Those with severe disease had a significantly higher IgG index (median: 3.75 vs 0.56, p=0.01) and CRP (median: 8.6 vs 1.0 mg/dL, p<0.001) and D-dimer levels (median: 1.65 vs 0.75 µg/mL; p=0.002) and a significantly lower lymphocyte count (median: 1,176 vs 666 cells/µL, p=0.005) and viral load (median: 8.7×106 vs 2.3×104 copies/mL, p=0.005).",contradict
"These data indicate that higher viral loads and stronger antibody responses are related to more severe disease status in patients with SARS-CoV-2 infection, and the antibodies persisted in the recovered patient for more than 6 months so that the vaccine may provide protection against SARS-CoV-2 infection.",Flow Chart [Image: see text] Prediction of Outcomes Based on Genomic Load [Image: see text] Prediction of Outcomes Based on Genomic Load and Pneumonia Severity Index [Image: see text] CONCLUSION: High genomic load of SARS-CoV-2 in nasopharyngeal samples at the time of admission is independently associated with mortality and intubation.,support
"RESULTS: Asymptomatic patients were found to have higher viral load than the symptomatic patients, though the difference was not found to be statistically significant.","Fever, either as an exclusive symptom or combined with others, was associated with high viral loads (2ΔΔCt range 35.65-155.16; 4.25-4.89 log10 RNA copies/test]).",unrelated
"In univariate analyses, compared to patients with moderate or low viral load, patients with high viral load were older, had more often comorbidities, developed symptomatic disease, were intubated and died; in addition, patients with high viral load had longer stay in intensive care unit and longer intubation compared to patients with low viral load (p-values <0.05 for all).","Whereas, viral load was higher in plasma and serum samples of symptomatic patients suggesting that the development of clinical complications is mostly associated to high viral load in plasma and serum.",support
"Findings Analysis of the biochemical parameters highlighted the increased levels of C-Reactive protein (CRP), lactate dehydrogenase (LDH), serum SGPT, serum SGOT and ferritin in symptomatic patients indicating that patients with higher levels of few biochemical parameters might experience severe pathophysiological complications after SARS-CoV-2 infection.",RESULTS: The frequency of viral RNAemia was higher in the critically ill patients (78%) compared to ward patients (27%) and outpatients (2%) (p < 0.001).,unrelated
RESULTS: The frequency of viral RNAemia was higher in the critically ill patients (78%) compared to ward patients (27%) and outpatients (2%) (p < 0.001).,"Fever, either as an exclusive symptom or combined with others, was associated with high viral loads (2ΔΔCt range 35.65-155.16; 4.25-4.89 log10 RNA copies/test]).",unrelated
Flow Chart [Image: see text] Prediction of Outcomes Based on Genomic Load [Image: see text] Prediction of Outcomes Based on Genomic Load and Pneumonia Severity Index [Image: see text] CONCLUSION: High genomic load of SARS-CoV-2 in nasopharyngeal samples at the time of admission is independently associated with mortality and intubation.,"The peak viral load was higher in the severe disease group than in the mild group (median cycle threshold value, 36.4 versus 31.5; P = 0.002).",support
"CONCLUSION: In this study, patients with moderate and severe COVID19 infection had a higher viral load in respiratory samples, a higher frequency of comorbidities, a higher frequency of hospitalization and a longer hospital stay.","Patients with chronic cardiovascular disease, hypertension, chronic pulmonary disease, immunosuppression, obesity and chronic neurological disease had more often high viral load (p-value<0.05 for all).",support
"CONCLUSION: In this study, patients with moderate and severe COVID19 infection had a higher viral load in respiratory samples, a higher frequency of comorbidities, a higher frequency of hospitalization and a longer hospital stay.","Viral RNA load in plasma correlates with key signatures of dysregulated host responses, suggesting a major role of uncontrolled viral replication in the pathogenesis of this disease.",support
"RESULTS: Asymptomatic patients were found to have higher viral load than the symptomatic patients, though the difference was not found to be statistically significant.","CONCLUSION: In this study, patients with moderate and severe COVID19 infection had a higher viral load in respiratory samples, a higher frequency of comorbidities, a higher frequency of hospitalization and a longer hospital stay.",contradict
"Despite variability in animal studies, there was some evidence that increased dose at exposure correlated with higher viral load clinically, and severe symptoms.","Patients with chronic cardiovascular disease, hypertension, chronic pulmonary disease, immunosuppression, obesity and chronic neurological disease had more often high viral load (p-value<0.05 for all).",support
"High genomic load at presentation was associated with higher Charlson Comorbidity Index scores (p=0.005), transplant recipient status (p< 0.001) and duration of illness less than 7 days (p=0.005).","In conclusion, higher concentrations of IgA, IgM, and IgG, and IL-6, IL-8 and MIP-1β are identified as early predictors of COVID-19 severity, whereas no significant association is found between baseline SARS-COV-2 viral load and COVID-19 severity.",unrelated
"SARS-CoV-2 viral loads, especially plasma viremia, are associated with increased risk of mortality.","Higher VL was associated with shorter duration of the symptoms in all patients and hospitalized patients only and shorter hospital stay (coefficient =-2.02,-2.61, -2.18; p<0.001, p=0.002, p=0.013, respectively).",contradict
"These data indicate that higher viral loads and stronger antibody responses are related to more severe disease status in patients with SARS-CoV-2 infection, and the antibodies persisted in the recovered patient for more than 6 months so that the vaccine may provide protection against SARS-CoV-2 infection.","Despite variability in animal studies, there was some evidence that increased dose at exposure correlated with higher viral load clinically, and severe symptoms.",support
"The peak viral load was higher in the severe disease group than in the mild group (median cycle threshold value, 36.4 versus 31.5; P = 0.002).","Whereas, viral load was higher in plasma and serum samples of symptomatic patients suggesting that the development of clinical complications is mostly associated to high viral load in plasma and serum.",support
"These data indicate that higher viral loads and stronger antibody responses are related to more severe disease status in patients with SARS-CoV-2 infection, and the antibodies persisted in the recovered patient for more than 6 months so that the vaccine may provide protection against SARS-CoV-2 infection.","High genomic load at presentation was associated with higher Charlson Comorbidity Index scores (p=0.005), transplant recipient status (p< 0.001) and duration of illness less than 7 days (p=0.005).",unrelated
"Patients with chronic cardiovascular disease, hypertension, chronic pulmonary disease, immunosuppression, obesity and chronic neurological disease had more often high viral load (p-value<0.05 for all).",Flow Chart [Image: see text] Prediction of Outcomes Based on Genomic Load [Image: see text] Prediction of Outcomes Based on Genomic Load and Pneumonia Severity Index [Image: see text] CONCLUSION: High genomic load of SARS-CoV-2 in nasopharyngeal samples at the time of admission is independently associated with mortality and intubation.,support
"These data indicate that higher viral loads and stronger antibody responses are related to more severe disease status in patients with SARS-CoV-2 infection, and the antibodies persisted in the recovered patient for more than 6 months so that the vaccine may provide protection against SARS-CoV-2 infection.","Higher VL was associated with shorter duration of the symptoms in all patients and hospitalized patients only and shorter hospital stay (coefficient =-2.02,-2.61, -2.18; p<0.001, p=0.002, p=0.013, respectively).",contradict
"Higher VL was associated with shorter duration of the symptoms in all patients and hospitalized patients only and shorter hospital stay (coefficient =-2.02,-2.61, -2.18; p<0.001, p=0.002, p=0.013, respectively).","In univariate analyses, compared to patients with moderate or low viral load, patients with high viral load were older, had more often comorbidities, developed symptomatic disease, were intubated and died; in addition, patients with high viral load had longer stay in intensive care unit and longer intubation compared to patients with low viral load (p-values <0.05 for all).",contradict
"Viral RNA load in plasma correlated with higher levels of chemokines (CXCL10, CCL2), biomarkers indicative of a systemic inflammatory response (IL-6, CRP, ferritin), activation of NK cells (IL-15), endothelial dysfunction (VCAM-1, angiopoietin-2, ICAM-1), coagulation activation (D-Dimer and INR), tissue damage (LDH, GPT), neutrophil response (neutrophils counts, myeloperoxidase, GM-CSF) and immunodepression (PD-L1, IL-10, lymphopenia and monocytopenia).","In multivariate analysis, high genomic load remained an independent predictor of primary outcome.",unrelated
"However, in hospitalised patients lower C(q)-values were associated with higher risk of severe disease.","Fever, either as an exclusive symptom or combined with others, was associated with high viral loads (2ΔΔCt range 35.65-155.16; 4.25-4.89 log10 RNA copies/test]).",unrelated
"Viral RNA load in plasma correlated with higher levels of chemokines (CXCL10, CCL2), biomarkers indicative of a systemic inflammatory response (IL-6, CRP, ferritin), activation of NK cells (IL-15), endothelial dysfunction (VCAM-1, angiopoietin-2, ICAM-1), coagulation activation (D-Dimer and INR), tissue damage (LDH, GPT), neutrophil response (neutrophils counts, myeloperoxidase, GM-CSF) and immunodepression (PD-L1, IL-10, lymphopenia and monocytopenia).","Despite variability in animal studies, there was some evidence that increased dose at exposure correlated with higher viral load clinically, and severe symptoms.",support
"Findings Analysis of the biochemical parameters highlighted the increased levels of C-Reactive protein (CRP), lactate dehydrogenase (LDH), serum SGPT, serum SGOT and ferritin in symptomatic patients indicating that patients with higher levels of few biochemical parameters might experience severe pathophysiological complications after SARS-CoV-2 infection.","Importantly, patients with high genomic load were more likely to reach the primary endpoint (p=0.001), and had higher PSI scores on admission (p=0.03).",unrelated
Flow Chart [Image: see text] Prediction of Outcomes Based on Genomic Load [Image: see text] Prediction of Outcomes Based on Genomic Load and Pneumonia Severity Index [Image: see text] CONCLUSION: High genomic load of SARS-CoV-2 in nasopharyngeal samples at the time of admission is independently associated with mortality and intubation.,"In univariate analyses, compared to patients with moderate or low viral load, patients with high viral load were older, had more often comorbidities, developed symptomatic disease, were intubated and died; in addition, patients with high viral load had longer stay in intensive care unit and longer intubation compared to patients with low viral load (p-values <0.05 for all).",support
"SARS-CoV-2 viral loads, especially plasma viremia, are associated with increased risk of mortality.",CONCLUSION: SARS-CoV-2 viral load is not significantly associated with disease severity among different population subsets.,contradict
CONCLUSION: SARS-CoV-2 viral load is not significantly associated with disease severity among different population subsets.,"CONCLUSION: In this study, patients with moderate and severe COVID19 infection had a higher viral load in respiratory samples, a higher frequency of comorbidities, a higher frequency of hospitalization and a longer hospital stay.",contradict
"RESULTS: Asymptomatic patients were found to have higher viral load than the symptomatic patients, though the difference was not found to be statistically significant.","High genomic load at presentation was associated with higher Charlson Comorbidity Index scores (p=0.005), transplant recipient status (p< 0.001) and duration of illness less than 7 days (p=0.005).",unrelated
"Amongst the participants hospitalized with COVID-19, we report that a higher prevalence of detectable SARS-CoV-2 plasma viral load is associated with worse respiratory disease severity, lower absolute lymphocyte counts, and increased markers of inflammation, including C-reactive protein and IL-6.","The peak viral load was higher in the severe disease group than in the mild group (median cycle threshold value, 36.4 versus 31.5; P = 0.002).",support
"Patients with chronic cardiovascular disease, hypertension, chronic pulmonary disease, immunosuppression, obesity and chronic neurological disease had more often high viral load (p-value<0.05 for all).","High genomic load at presentation was associated with higher Charlson Comorbidity Index scores (p=0.005), transplant recipient status (p< 0.001) and duration of illness less than 7 days (p=0.005).",unrelated
"Whereas, viral load was higher in plasma and serum samples of symptomatic patients suggesting that the development of clinical complications is mostly associated to high viral load in plasma and serum.","Higher baseline viral load was associated with higher mortality, lower likelihood of improvement in clinical status and supplemental oxygenation requirements, and lower rates of hospital discharge.",support
"Patients with chronic cardiovascular disease, hypertension, chronic pulmonary disease, immunosuppression, obesity and chronic neurological disease had more often high viral load (p-value<0.05 for all).","Viral RNA load in plasma correlates with key signatures of dysregulated host responses, suggesting a major role of uncontrolled viral replication in the pathogenesis of this disease.",support
"Patients with chronic cardiovascular disease, hypertension, chronic pulmonary disease, immunosuppression, obesity and chronic neurological disease had more often high viral load (p-value<0.05 for all).","Higher baseline viral load was associated with higher mortality, lower likelihood of improvement in clinical status and supplemental oxygenation requirements, and lower rates of hospital discharge.",support
"RESULTS: Asymptomatic patients were found to have higher viral load than the symptomatic patients, though the difference was not found to be statistically significant.","Critical patients had higher viral RNA loads in plasma than non-critically ill patients, with non-survivors showing the highest values.",contradict
CONCLUSIONS: SARS-CoV-2 RNAemia and viral RNA load in plasma are associated with critical illness in COVID-19.,"Lower respiratory symptoms were associated with moderate and severe symptoms, while odynophagia, vomiting, and diarrhea were associated with mild clinical symptoms.",unrelated
"In conclusion, higher concentrations of IgA, IgM, and IgG, and IL-6, IL-8 and MIP-1β are identified as early predictors of COVID-19 severity, whereas no significant association is found between baseline SARS-COV-2 viral load and COVID-19 severity.","CONCLUSION: In this study, patients with moderate and severe COVID19 infection had a higher viral load in respiratory samples, a higher frequency of comorbidities, a higher frequency of hospitalization and a longer hospital stay.",contradict
"Fever, either as an exclusive symptom or combined with others, was associated with high viral loads (2ΔΔCt range 35.65-155.16; 4.25-4.89 log10 RNA copies/test]).","Higher VL was associated with shorter duration of the symptoms in all patients and hospitalized patients only and shorter hospital stay (coefficient =-2.02,-2.61, -2.18; p<0.001, p=0.002, p=0.013, respectively).",unrelated
"Critical patients had higher viral RNA loads in plasma than non-critically ill patients, with non-survivors showing the highest values.","RESULTS: Asymptomatic patients were found to have higher viral load than the symptomatic patients, though the difference was not found to be statistically significant.",contradict
"Those with severe disease had a significantly higher IgG index (median: 3.75 vs 0.56, p=0.01) and CRP (median: 8.6 vs 1.0 mg/dL, p<0.001) and D-dimer levels (median: 1.65 vs 0.75 µg/mL; p=0.002) and a significantly lower lymphocyte count (median: 1,176 vs 666 cells/µL, p=0.005) and viral load (median: 8.7×106 vs 2.3×104 copies/mL, p=0.005).","These data indicate that higher viral loads and stronger antibody responses are related to more severe disease status in patients with SARS-CoV-2 infection, and the antibodies persisted in the recovered patient for more than 6 months so that the vaccine may provide protection against SARS-CoV-2 infection.",contradict
"Viral RNA load in plasma correlated with higher levels of chemokines (CXCL10, CCL2), biomarkers indicative of a systemic inflammatory response (IL-6, CRP, ferritin), activation of NK cells (IL-15), endothelial dysfunction (VCAM-1, angiopoietin-2, ICAM-1), coagulation activation (D-Dimer and INR), tissue damage (LDH, GPT), neutrophil response (neutrophils counts, myeloperoxidase, GM-CSF) and immunodepression (PD-L1, IL-10, lymphopenia and monocytopenia).","RESULTS: Asymptomatic patients were found to have higher viral load than the symptomatic patients, though the difference was not found to be statistically significant.",contradict
"Importantly, patients with high genomic load were more likely to reach the primary endpoint (p=0.001), and had higher PSI scores on admission (p=0.03).","These data indicate that higher viral loads and stronger antibody responses are related to more severe disease status in patients with SARS-CoV-2 infection, and the antibodies persisted in the recovered patient for more than 6 months so that the vaccine may provide protection against SARS-CoV-2 infection.",support
"SARS-CoV-2 viral loads, especially plasma viremia, are associated with increased risk of mortality.","In univariate analyses, compared to patients with moderate or low viral load, patients with high viral load were older, had more often comorbidities, developed symptomatic disease, were intubated and died; in addition, patients with high viral load had longer stay in intensive care unit and longer intubation compared to patients with low viral load (p-values <0.05 for all).",support
"Overall our study suggests that a high viral load in the upper respiratory tract may not be a critical factor for severe symptoms; rather, dampened antiviral responses may be a critical factor for a severe outcome from the infection.","Critical patients had higher viral RNA loads in plasma than non-critically ill patients, with non-survivors showing the highest values.",contradict
"High genomic load at presentation was associated with higher Charlson Comorbidity Index scores (p=0.005), transplant recipient status (p< 0.001) and duration of illness less than 7 days (p=0.005).","RESULTS: Asymptomatic patients were found to have higher viral load than the symptomatic patients, though the difference was not found to be statistically significant.",unrelated
"In univariate analyses, compared to patients with moderate or low viral load, patients with high viral load were older, had more often comorbidities, developed symptomatic disease, were intubated and died; in addition, patients with high viral load had longer stay in intensive care unit and longer intubation compared to patients with low viral load (p-values <0.05 for all).","High genomic load at presentation was associated with higher Charlson Comorbidity Index scores (p=0.005), transplant recipient status (p< 0.001) and duration of illness less than 7 days (p=0.005).",unrelated
"Whereas, viral load was higher in plasma and serum samples of symptomatic patients suggesting that the development of clinical complications is mostly associated to high viral load in plasma and serum.","Amongst the participants hospitalized with COVID-19, we report that a higher prevalence of detectable SARS-CoV-2 plasma viral load is associated with worse respiratory disease severity, lower absolute lymphocyte counts, and increased markers of inflammation, including C-reactive protein and IL-6.",support
"The peak viral load was higher in the severe disease group than in the mild group (median cycle threshold value, 36.4 versus 31.5; P = 0.002).","Overall our study suggests that a high viral load in the upper respiratory tract may not be a critical factor for severe symptoms; rather, dampened antiviral responses may be a critical factor for a severe outcome from the infection.",contradict
"CONCLUSION: In this study, patients with moderate and severe COVID19 infection had a higher viral load in respiratory samples, a higher frequency of comorbidities, a higher frequency of hospitalization and a longer hospital stay.","Amongst the participants hospitalized with COVID-19, we report that a higher prevalence of detectable SARS-CoV-2 plasma viral load is associated with worse respiratory disease severity, lower absolute lymphocyte counts, and increased markers of inflammation, including C-reactive protein and IL-6.",support
CONCLUSIONS: SARS-CoV-2 RNAemia and viral RNA load in plasma are associated with critical illness in COVID-19.,"High genomic load at presentation was associated with higher Charlson Comorbidity Index scores (p=0.005), transplant recipient status (p< 0.001) and duration of illness less than 7 days (p=0.005).",unrelated
"Fever, either as an exclusive symptom or combined with others, was associated with high viral loads (2ΔΔCt range 35.65-155.16; 4.25-4.89 log10 RNA copies/test]).","In conclusion, higher concentrations of IgA, IgM, and IgG, and IL-6, IL-8 and MIP-1β are identified as early predictors of COVID-19 severity, whereas no significant association is found between baseline SARS-COV-2 viral load and COVID-19 severity.",unrelated
"Overall our study suggests that a high viral load in the upper respiratory tract may not be a critical factor for severe symptoms; rather, dampened antiviral responses may be a critical factor for a severe outcome from the infection.",RESULTS: The frequency of viral RNAemia was higher in the critically ill patients (78%) compared to ward patients (27%) and outpatients (2%) (p < 0.001).,contradict
"High genomic load at presentation was associated with higher Charlson Comorbidity Index scores (p=0.005), transplant recipient status (p< 0.001) and duration of illness less than 7 days (p=0.005).",CONCLUSIONS: SARS-CoV-2 RNAemia and viral RNA load in plasma are associated with critical illness in COVID-19.,unrelated
"Whereas, viral load was higher in plasma and serum samples of symptomatic patients suggesting that the development of clinical complications is mostly associated to high viral load in plasma and serum.","Lower respiratory symptoms were associated with moderate and severe symptoms, while odynophagia, vomiting, and diarrhea were associated with mild clinical symptoms.",unrelated
CONCLUSIONS: SARS-CoV-2 RNAemia and viral RNA load in plasma are associated with critical illness in COVID-19.,"Those with severe disease had a significantly higher IgG index (median: 3.75 vs 0.56, p=0.01) and CRP (median: 8.6 vs 1.0 mg/dL, p<0.001) and D-dimer levels (median: 1.65 vs 0.75 µg/mL; p=0.002) and a significantly lower lymphocyte count (median: 1,176 vs 666 cells/µL, p=0.005) and viral load (median: 8.7×106 vs 2.3×104 copies/mL, p=0.005).",unrelated
"Patients with chronic cardiovascular disease, hypertension, chronic pulmonary disease, immunosuppression, obesity and chronic neurological disease had more often high viral load (p-value<0.05 for all).","Findings Analysis of the biochemical parameters highlighted the increased levels of C-Reactive protein (CRP), lactate dehydrogenase (LDH), serum SGPT, serum SGOT and ferritin in symptomatic patients indicating that patients with higher levels of few biochemical parameters might experience severe pathophysiological complications after SARS-CoV-2 infection.",unrelated
"Despite variability in animal studies, there was some evidence that increased dose at exposure correlated with higher viral load clinically, and severe symptoms.","Critical patients had higher viral RNA loads in plasma than non-critically ill patients, with non-survivors showing the highest values.",support
"Those with severe disease had a significantly higher IgG index (median: 3.75 vs 0.56, p=0.01) and CRP (median: 8.6 vs 1.0 mg/dL, p<0.001) and D-dimer levels (median: 1.65 vs 0.75 µg/mL; p=0.002) and a significantly lower lymphocyte count (median: 1,176 vs 666 cells/µL, p=0.005) and viral load (median: 8.7×106 vs 2.3×104 copies/mL, p=0.005).","Viral RNA load in plasma correlated with higher levels of chemokines (CXCL10, CCL2), biomarkers indicative of a systemic inflammatory response (IL-6, CRP, ferritin), activation of NK cells (IL-15), endothelial dysfunction (VCAM-1, angiopoietin-2, ICAM-1), coagulation activation (D-Dimer and INR), tissue damage (LDH, GPT), neutrophil response (neutrophils counts, myeloperoxidase, GM-CSF) and immunodepression (PD-L1, IL-10, lymphopenia and monocytopenia).",contradict
"Lower respiratory symptoms were associated with moderate and severe symptoms, while odynophagia, vomiting, and diarrhea were associated with mild clinical symptoms.",Flow Chart [Image: see text] Prediction of Outcomes Based on Genomic Load [Image: see text] Prediction of Outcomes Based on Genomic Load and Pneumonia Severity Index [Image: see text] CONCLUSION: High genomic load of SARS-CoV-2 in nasopharyngeal samples at the time of admission is independently associated with mortality and intubation.,unrelated
CONCLUSIONS: SARS-CoV-2 RNAemia and viral RNA load in plasma are associated with critical illness in COVID-19.,"Amongst the participants hospitalized with COVID-19, we report that a higher prevalence of detectable SARS-CoV-2 plasma viral load is associated with worse respiratory disease severity, lower absolute lymphocyte counts, and increased markers of inflammation, including C-reactive protein and IL-6.",unrelated
CONCLUSIONS: SARS-CoV-2 RNAemia and viral RNA load in plasma are associated with critical illness in COVID-19.,Flow Chart [Image: see text] Prediction of Outcomes Based on Genomic Load [Image: see text] Prediction of Outcomes Based on Genomic Load and Pneumonia Severity Index [Image: see text] CONCLUSION: High genomic load of SARS-CoV-2 in nasopharyngeal samples at the time of admission is independently associated with mortality and intubation.,unrelated
